"No.","Time","Source","Destination","Protocol","Length","Leftover Captured Data"
"542","98.441746","2.11.1","host","USB","72","0000151700000000"
"544","98.453008","2.11.1","host","USB","72","0000170000000000"
"546","98.524838","2.11.1","host","USB","72","0000000000000000"
"548","99.132848","2.11.1","host","USB","72","0200000000000000"
"550","99.348800","2.11.1","host","USB","72","0200150000000000"
"552","99.388813","2.11.1","host","USB","72","0000150000000000"
"554","99.412786","2.11.1","host","USB","72","0000000000000000"
"556","100.108839","2.11.1","host","USB","72","0000071600000000"
"558","100.204793","2.11.1","host","USB","72","0000160000000000"
"560","100.244815","2.11.1","host","USB","72","0000000000000000"
"562","100.324852","2.11.1","host","USB","72","0000090000000000"
"564","100.468926","2.11.1","host","USB","72","0000000000000000"
"566","100.828812","2.11.1","host","USB","72","0000070000000000"
"568","100.932810","2.11.1","host","USB","72","00000b0000000000"
"570","101.020788","2.11.1","host","USB","72","0000000000000000"
"572","101.484787","2.11.1","host","USB","72","0000180000000000"
"574","101.540903","2.11.1","host","USB","72","0000000000000000"
"576","102.692815","2.11.1","host","USB","72","0200000000000000"
"578","102.828780","2.11.1","host","USB","72","02000f0000000000"
"580","102.868764","2.11.1","host","USB","72","0000000000000000"
"582","107.684763","2.11.1","host","USB","72","00002a0000000000"
"584","107.756760","2.11.1","host","USB","72","0000000000000000"
"586","108.028757","2.11.1","host","USB","72","0200000000000000"
"588","108.260754","2.11.1","host","USB","72","0200180000000000"
"590","108.340764","2.11.1","host","USB","72","0200000000000000"
"592","108.348739","2.11.1","host","USB","72","0000000000000000"
"594","109.644726","2.11.1","host","USB","72","0000160000000000"
"596","109.724762","2.11.1","host","USB","72","0000160700000000"
"598","109.756733","2.11.1","host","USB","72","0000070000000000"
"600","109.780713","2.11.1","host","USB","72","0000000000000000"
"602","109.844698","2.11.1","host","USB","72","0000090000000000"
"604","109.948719","2.11.1","host","USB","72","0000090800000000"
"606","109.980738","2.11.1","host","USB","72","0000080000000000"
"608","110.020733","2.11.1","host","USB","72","0000081500000000"
"610","110.108705","2.11.1","host","USB","72","0000000000000000"
"612","110.452705","2.11.1","host","USB","72","0200000000000000"
"614","110.700722","2.11.1","host","USB","72","02000f0000000000"
"616","110.796733","2.11.1","host","USB","72","0000000000000000"
"618","112.012749","2.11.1","host","USB","72","0000070000000000"
"620","112.084767","2.11.1","host","USB","72","0000070900000000"
"622","112.100696","2.11.1","host","USB","72","0000090000000000"
"624","112.148723","2.11.1","host","USB","72","0000000000000000"
"626","112.276725","2.11.1","host","USB","72","0000160000000000"
"628","112.332704","2.11.1","host","USB","72","0000000000000000"
"630","112.484717","2.11.1","host","USB","72","00000b0000000000"
"632","112.620695","2.11.1","host","USB","72","00000b1700000000"
"634","112.660712","2.11.1","host","USB","72","0000170000000000"
"636","112.820732","2.11.1","host","USB","72","0000000000000000"
"638","113.292726","2.11.1","host","USB","72","0200000000000000"
"640","113.556712","2.11.1","host","USB","72","0200170000000000"
"642","113.652687","2.11.1","host","USB","72","0200171c00000000"
"644","113.692684","2.11.1","host","USB","72","02001c0000000000"
"646","113.780707","2.11.1","host","USB","72","02001c1800000000"
"648","113.804697","2.11.1","host","USB","72","0200180000000000"
"650","113.940690","2.11.1","host","USB","72","0200000000000000"
"652","113.988696","2.11.1","host","USB","72","0000000000000000"
"654","114.732710","2.11.1","host","USB","72","00002a0000000000"
"656","114.812684","2.11.1","host","USB","72","0000000000000000"
"658","114.956712","2.11.1","host","USB","72","00002a0000000000"
"660","115.044689","2.11.1","host","USB","72","0000000000000000"
"662","115.564649","2.11.1","host","USB","72","00002a0000000000"
"664","115.644662","2.11.1","host","USB","72","0000000000000000"
"666","116.756683","2.11.1","host","USB","72","0200000000000000"
"668","116.956725","2.11.1","host","USB","72","0200080000000000"
"670","117.036680","2.11.1","host","USB","72","0200000000000000"
"672","117.052655","2.11.1","host","USB","72","0000000000000000"
"674","117.548687","2.11.1","host","USB","72","0200000000000000"
"676","117.932645","2.11.1","host","USB","72","0200160000000000"
"678","118.012664","2.11.1","host","USB","72","0000000000000000"
"680","118.588624","2.11.1","host","USB","72","0200000000000000"
"682","118.900675","2.11.1","host","USB","72","0200300000000000"
"684","118.964649","2.11.1","host","USB","72","0000000000000000"
